2021-11-30 11:49:49,657 CRITICAL config_client_log.py Критическая ошибка
2021-11-30 11:49:49,657 ERROR    config_client_log.py Ошибка
2021-12-03 16:18:20,041 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=496, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50569), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638537500.0418558, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-03 16:18:20,058 DEBUG    decorated.py Функция get_message c параметрами (<socket.socket fd=496, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50569), raddr=('127.0.0.1', 7777)>,), {} - была вызвана из модуля main
2021-12-03 16:18:20,058 DEBUG    client.py Чтение сообщения от сервера:
2021-12-03 16:18:20,058 INFO     client.py Cообщение от сервера прочитано успешно
2021-12-03 16:18:20,058 DEBUG    decorated.py Функция read_answer c параметрами ({'response': 200},), {} - была вызвана из модуля main
2021-12-03 16:20:16,944 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:20:16,953 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638537616.9531538, 'user': {'account_name': 'Guest'}}
2021-12-03 16:20:16,953 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:20:16,953 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61582), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638537616.9531538, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-03 16:20:16,969 DEBUG    decorated.py Функция get_message c параметрами (<socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61582), raddr=('127.0.0.1', 7777)>,), {} - была вызвана из модуля main
2021-12-03 16:20:16,969 DEBUG    client.py Чтение сообщения от сервера: {'response': 200}
2021-12-03 16:20:16,969 INFO     client.py Cообщение от сервера прочитано успешно
2021-12-03 16:20:16,969 DEBUG    decorated.py Функция read_answer c параметрами ({'response': 200},), {} - была вызвана из модуля main
2021-12-03 16:30:31,431 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:30:31,431 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638538231.4310403, 'user': {'account_name': 'Guest'}}
2021-12-03 16:30:31,439 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:30:31,439 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61928), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638538231.4310403, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-03 16:30:31,447 DEBUG    decorated.py Функция get_message c параметрами (<socket.socket fd=328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61928), raddr=('127.0.0.1', 7777)>,), {} - была вызвана из модуля main
2021-12-03 16:30:31,447 DEBUG    client.py Чтение сообщения от сервера: {'response': 200}
2021-12-03 16:30:31,447 INFO     client.py Cообщение от сервера прочитано успешно
